,library size
702,8.056744
703,10.130902
704,9.609251
705,9.102087
706,10.38242
707,9.170872
708,9.495369
709,9.087495
710,10.316656
711,10.699259
712,9.781263
713,10.912029
714,9.86537
715,9.481969
716,8.775241
717,10.593931
718,9.977853
719,9.444622
720,9.752665
721,8.923592
722,10.282883
723,9.101864
724,9.5395
725,10.930872
726,9.2172165
727,10.475653
728,9.892881
729,9.12271
730,10.327807
731,10.214349
732,10.231567
733,8.80177
734,10.239817
735,9.448412
736,8.930627
737,8.867428
738,10.614156
739,8.673342
740,10.320156
741,8.492081
742,9.337502
743,10.600378
744,9.885883
745,9.070503
746,8.654866
747,10.44392
748,8.003029
749,10.533269
750,10.09005
751,10.904909
752,9.12129
753,9.080232
754,8.074026
755,8.828641
756,9.538421
757,9.728241
758,8.961879
759,10.018912
760,9.8902
761,10.336114
762,10.267714
763,9.45501
764,9.776336
765,9.094817
766,10.764709
767,10.683889
768,9.141419
769,7.8819375
770,8.04719
771,7.948032
772,8.297792
773,8.1939535
774,8.277412
775,7.9707403
776,8.106816
777,8.729074
778,8.11582
779,7.791936
780,8.048788
781,8.144098
782,7.962764
783,7.9266024
784,8.030084
785,8.11582
786,7.6746173
787,8.756053
788,7.6843243
789,8.028129
790,9.319105
791,7.635304
792,7.9533186
793,7.9803658
794,7.639161
795,7.6829433
796,7.6563373
797,8.30177
798,9.369564
799,7.904704
800,8.185907
801,7.7341213
802,7.7676873
803,7.759187
804,7.796469
805,7.8018003
806,8.872627
807,7.6884556
808,7.672758
809,7.7769547
810,8.167636
811,8.114025
812,7.9373746
813,7.9208097
814,7.8188324
815,9.880526
816,8.631949
817,8.4180355
818,8.2022085
819,7.626083
820,9.50301
821,7.8890843
822,8.340694
823,9.055439
824,7.6270576
825,9.075437
826,9.11405
827,8.961751
828,9.149953
829,9.827902
830,9.927107
831,9.9529915
832,10.112573
833,9.455872
834,8.885856
835,9.706864
836,9.354354
837,9.033364
838,8.418919
839,10.209132
840,9.376533
841,8.748305
842,8.288534
843,8.936692
844,9.141526
845,8.950922
846,9.589461
847,9.749695
848,9.061725
849,10.058781
850,9.518928
851,9.703755
852,9.576579
853,9.26426
854,9.401043
855,8.448272
856,8.870944
857,9.299998
858,9.817712
859,9.732877
860,9.791718
861,8.973985
862,9.287394
863,9.663261
864,9.74736
865,9.653486
866,9.474011
867,9.784873
868,9.466919
869,9.390827
870,8.660081
871,9.075437
872,10.079037
873,8.947286
874,9.075208
875,9.9687605
876,9.024854
877,10.008568
878,10.272945
879,8.612867
880,9.435482
881,9.075665
882,9.357639
883,9.333708
884,9.47968
885,9.2533045
886,9.507552
887,9.7691555
888,8.941022
889,8.778018
890,10.266115
891,8.570924
892,9.39066
893,9.076809
894,7.6568103
895,8.334472
896,8.279951
897,9.7382
898,9.853247
899,9.468156
900,10.858865
901,8.491876
902,10.084934
903,8.454041
904,10.566175
905,8.737613
906,9.925787
907,9.0056505
908,9.690789
909,10.116217
910,9.651301
911,10.378634
912,10.25629
913,9.016027
914,9.747828
915,9.25033
916,8.374938
917,10.016638
918,10.468659
919,8.886132
920,10.57398
921,8.744169
922,8.950663
923,9.779227
924,9.725915
925,9.9953375
926,9.563249
927,10.06879
928,9.042749
929,10.450481
930,9.784704
931,10.538582
932,8.928508
933,9.842037
934,10.461645
935,9.985206
936,9.186355
937,10.085351
938,9.777187
939,8.834919
940,9.600353
941,10.364293
942,10.677316
943,9.349319
944,8.785387
945,10.646805
946,9.860058
947,10.561681
948,10.285002
949,9.678405
950,10.580912
951,9.949989
952,9.620727
953,8.228977
954,9.548811
955,7.59287
956,9.137016
957,9.173366
958,8.132119
959,7.8135915
960,9.856396
961,10.313576
962,9.397567
963,9.3699045
964,9.85372
965,9.561631
966,8.525558
967,9.09493
968,8.48529
969,9.502637
970,10.325482
971,9.415646
972,9.6507225
973,9.305832
974,9.88512
975,8.273336
976,9.252346
977,9.182147
978,10.490024
979,9.969416
980,8.269757
981,9.661989
982,9.280239
983,8.923858
984,9.65188
985,9.694924
986,9.498073
987,10.601274
988,9.700882
989,8.133881
990,9.771041
991,8.297295
992,8.416046
993,9.927057
994,8.871506
995,7.8586407
996,9.9228
997,10.469
998,8.148156
999,8.853379
1000,10.076642
1001,8.950922
1002,8.715224
1003,8.479075
1004,8.093462
1005,8.097122
1006,10.703469
1007,9.479604
1008,9.943813
1009,8.867004
1010,9.137016
1011,9.731334
1012,9.371694
1013,10.027959
