,peak mean
679,0.018979844
680,0.0051653264
681,0.0041343225
682,0.0072239153
683,0.049997833
684,0.18396027
685,0.015926413
686,1.2779629
687,0.013885563
688,0.035109144
689,0.023542518
690,0.0061951503
691,0.008251741
692,0.021010218
693,0.036608074
694,0.029091086
695,0.010304109
696,0.011840538
697,0.028587965
698,0.03610872
699,0.16876574
700,0.48203585
701,0.033107225
702,0.13223593
703,0.06951063
704,0.0041343225
705,0.0031023729
706,0.041588183
707,0.042581197
708,0.025563775
709,0.0867524
710,0.0031023729
711,0.021517284
712,0.17095059
713,0.006709666
714,0.014396137
715,0.026068423
716,0.028084585
717,0.009791323
718,0.07816867
719,0.11021663
720,0.041588183
721,0.016435947
722,0.19168562
723,0.0108165145
724,0.012863516
725,0.0072239153
726,0.045554433
727,0.023036595
728,0.021517284
729,0.005680371
730,0.005680371
731,0.032104645
732,0.0077380193
733,0.18568212
734,0.07384896
735,0.017454235
736,0.03059906
737,0.004650017
738,0.021517167
739,0.006709666
740,0.0041343225
741,0.0031023729
742,0.009791323
743,0.2913002
744,0.09101682
745,0.0685439
746,0.34626308
747,0.04009671
748,0.009278392
749,0.107894935
750,0.12082814
751,0.1976533
752,0.0108165145
753,0.0041343225
754,0.48554757
755,0.0051653264
756,0.024553716
757,0.008765199
758,0.023542518
759,0.024553716
760,0.026068423
761,0.019995546
762,0.04406886
763,0.35465267
764,0.05784861
765,0.021517284
766,0.5331533
767,0.011328658
768,0.037606034
769,0.013885563
770,0.010304109
771,0.06175112
772,0.008765199
773,0.04406886
774,0.008251741
775,0.0077380193
776,0.009278392
777,0.04059408
778,0.004650017
779,0.0051653264
780,0.015926413
781,0.06757636
782,0.12632012
783,0.2566514
784,0.79052615
785,0.07095879
786,0.03860312
787,0.07192319
788,0.035608996
789,0.055891737
790,0.015416503
791,0.011328658
792,0.26144755
793,0.0051653264
794,0.005680371
795,0.0036184806
796,0.009791323
797,0.018979844
798,0.027580958
799,0.008251741
800,0.0061951503
801,0.012352158
802,0.008251741
803,0.016945222
804,0.0061951503
805,0.0072239153
806,0.010304109
807,0.0072239153
808,0.026572816
809,0.028587965
810,0.012352158
811,0.024048187
812,0.030096693
813,0.062724315
814,0.045554433
815,0.042581197
816,0.018471487
817,0.024553716
818,0.037606034
819,0.0041343225
820,0.004650017
821,0.009791323
822,0.014396137
823,0.06321056
824,0.021517167
825,0.012863516
826,0.14306644
827,0.0031023729
828,0.076730914
829,0.047531728
830,0.011840538
831,0.006709666
832,0.0031023729
833,0.07095879
834,0.042581197
835,0.17964245
836,0.16262262
837,0.023542518
838,0.0051653264
839,0.39801392
840,0.2721555
841,0.04406886
842,0.15111294
843,0.006709666
844,0.0061951503
845,0.017454235
846,0.0072239153
847,0.03160303
848,0.019487824
849,0.026068423
850,0.014396137
851,0.014396137
852,0.041091196
853,0.03059906
854,0.016435947
855,0.02959396
856,0.02959396
857,0.016435947
858,0.16482094
859,0.45184305
860,0.011840538
861,0.0108165145
862,0.005680371
863,0.029091086
864,0.0108165145
865,0.008251741
866,0.0061951503
867,0.023036595
868,0.009791323
869,0.0036184806
870,0.012352158
871,0.010304109
872,0.0072239153
873,0.0108165145
874,0.013374727
875,0.025563775
876,0.029091086
877,0.09432103
878,0.038104642
879,0.0061951503
880,0.092906326
881,0.0051653264
882,0.1524477
883,0.06563834
884,0.069993585
885,0.034108683
