,nozero
638,8.599142
639,8.754792
640,8.5961895
641,9.205529
642,8.647168
643,8.868413
644,8.866017
645,9.576371
646,8.898639
647,9.663707
648,8.985195
649,8.321665
650,8.228444
651,8.86982
652,8.604471
653,9.161675
654,8.12711
655,9.0623045
656,9.29459
657,8.3968315
658,9.142811
659,8.592115
660,8.930758
661,8.848653
662,9.139274
663,9.345483
664,8.853522
665,8.335911
666,9.034915
667,7.999007
668,8.895904
669,8.549661
670,8.75684
671,8.746876
672,8.7489395
673,9.580317
674,9.421574
675,8.814924
676,9.634431
677,8.679822
678,9.403355
679,8.346168
680,9.169726
681,8.778634
682,8.649624
683,8.38754
684,8.95364
685,8.454467
686,8.8338995
687,8.253748
688,9.359105
689,9.652716
690,9.201199
691,8.487558
692,8.669571
693,9.712267
694,8.494947
695,8.227376
696,9.655218
697,8.32821
698,9.427708
699,8.521783
700,9.81329
701,9.4225445
702,7.3118863
703,9.187583
704,8.84246
705,8.275376
706,9.48994
707,8.369853
708,8.641179
709,8.321908
710,9.371864
711,9.712448
712,8.95944
713,9.905635
714,9.025455
715,8.622454
716,8.029107
717,9.656116
718,9.116139
719,8.604654
720,8.803575
721,8.174985
722,9.302555
723,8.305484
724,8.76655
725,9.897368
726,8.468213
727,9.555206
728,9.015298
729,8.419801
730,9.490696
731,9.363833
732,9.322418
733,8.0680895
734,9.356171
735,8.550048
736,8.130354
737,8.108021
738,9.636262
739,7.915348
740,9.354874
741,7.7497535
742,8.512382
743,9.51
744,9.033126
745,8.230577
746,7.8913307
747,9.49296
748,7.2520537
749,9.565845
750,9.192787
751,9.867653
752,8.344268
753,8.218517
754,7.344719
755,8.1086235
756,8.631771
757,8.889032
758,8.215277
759,9.131947
760,9.025095
761,9.318836
762,9.303284
763,8.662678
764,8.909101
765,8.250359
766,9.723942
767,9.695355
768,8.333751
769,7.1647205
770,7.367077
771,7.2254815
772,7.5595593
773,7.474205
774,7.5673456
775,7.2555914
776,7.3957214
777,7.978654
778,7.431892
779,7.0842266
780,7.342779
781,7.4193807
782,7.2730927
783,7.242798
784,7.297091
785,7.41698
786,6.985642
787,7.986165
788,6.9994226
789,7.3421316
790,8.504108
791,6.9382844
792,7.256297
793,7.270313
794,6.933423
795,6.9574976
796,6.9555926
797,7.559038
798,8.549079
799,7.191429
800,7.457609
801,7.0255384
802,7.056175
